on behalf of, 〜代表として
up in the air, 未定の、はっきりしない
donation, 寄付金、寄贈物
ample, 豊富な、十分すぎるほどの
complement, 補足物
compliment, 賛辞、褒め言葉
complimentary, 無料で提供される、タダの
granted that [接], たとえ〜だとしても
take A for granted, Aを当たり前とみなす
resent ~ing, 〜に腹を立てる
be worth ~ing, 〜する価値がある
obligation, 義務
mandatory, 義務的な, mandate:,  義務、義務づける
attentive, 注意深い、慎重な
in honor of, 〜に敬意を表して
in/with respect of, 〜に関して
subcontract, 下請け
perishable, 腐りやすい
lavish, 惜しまない、気前の良い
make heads or tails of, 〜を理解する、把握する
chin, あご、下あご 
restrain, 抑える、禁じる
constrain, 制約する
constraint, 制約
lid, ふた
cumbersomely, (組織などが)複雑な, (物が)大きくて運びにくい, cucumber:,  キュウリ
meticulous, 几帳面な
in succession, 連続して
without so much as ~ing, 〜さえしないで
appreciate ~ing, ×to不定詞
concrete, 具体的な、コンクリート製の, (対)abstract
preliminary, 予備の
A report to B, AはBの直属だ、部下である(A<B)
all day /?/: 1日中, 1.hour 2.long 3.night, ..., ..., ..., 2.long
minutes, 議事録
income tax return, 所得税申告書
dimensions (about its product), (製品の)寸法
exclusive lounge, 専用ラウンジ
around the clock, 24時間ずっと
pros and cons, 賛否
"immediate supervisor" means /?/:, 1.assistant 2.neighbor 3.manager, ..., ..., ..., 3.manager, 直属の上司
vessel, 船、容器
brochure, パンフレット
curb, 縁石
stove, コンロ
ornament, 装飾品
body of water, 水域
stool, 丸イス
cardboard box, ダンボール箱
cast a shadow, 影を落とす
pot, 鍋
