apprentice, 見習い、実習生
adhere (to), 忠実に従う
abridged, 要約された、短縮された, (summarized)
adverse, 逆の、不利な
authentic, 本物の
attire, 服装
alleviate, 軽減する、緩和する
anecdote, 逸話
avid, 熱心な
aspiring, 〜志望の、目指す
artifact, (歴史･文化的価値のある)工芸品
botanical, 植物の
bolster, 強化する
bearer, (coupon･check等の)持参人
commend, ほめる
coincide, 同時に起こる
concise, 簡潔な、(コンサイス版)
congested, 渋滞した
conform (to), (規則や周囲に)合わせる, confirm:,  確認する
constraint, 制約
commensurate, (経験などに)比例した
carpool, 相乗りする(share a ride)
compatible (with), 互換性がある、相性が良い
in the overhead compartment, 頭上のスペースの中に, compartment:,  一区画
consecutive, 連続した
in compliance with regulations, 規則の順守
clarify, はっきりさせる、明確にする
culinary, 料理の
cuisine, 料理
craftspeople, 職人
cubicle, 個別の作業スペース
critically acclaimed, 評論家に絶賛されている
credential, 経歴、資格
designated, 指定された
demolish, 解体する
dilute, 薄める
deduct (from), 控除する、差し引く
deplete, 使い果たす
divert, わきへ向ける、転ずる
deviate, それる
durable, 耐久性がある
deteriorate, 悪化する
detergent, 洗剤
definitive, 決定的な、決定版の
discreetly, 分別を持って、思慮深く
dietary restrictions, 食事制限, (ベジタリアン向けの食事、の言い換え)
explicit, 明確な
exempt from, 免除された
entail, 必要とする
expedite, 早める、促進させる
exponentially, 加速度的に
exemplary, 模範的な
forge, (関係などを) 築く
forfeit, 剥奪される、没収される、罰金
fraud, 詐欺
fabric, 生地、織物, textile:,  生地、織物
faucet [fˈɔːsɪt], 水道水, tap water:,  水道水
fierce competition, 激しい競争
feasible, 実現可能な
gala, 祝祭、祭り、祝賀
hands-on, 実地の
incur a fine, 罰金を受ける
inclement, 荒れた、荒れ模様の
intermission, 休憩
intact, 傷がない
insulation, (音･熱･電気等を)防ぐこと、隔離
inaugural, 最初の、初開催の
installment, 連載の一回分、分割払い
imperative, 絶対必要な、緊急の
impending, 間近に迫った (あまり良くない事に対して使う)
keenly aware of, 痛感している
liaison, 連絡係、連絡
lumber, 材木、製材, timber:,  材木、製材
memorabilia, 記念品、思い出の品
mandatory, 義務の, mandate:,  規定する、命令
mural, 壁画
meticulously, 細心の注意を払って
nominal, ほんのわずかの
oversight, 見落とし
overwhelm, 圧倒する
optimal, ベストの、最高の
outreach, 福祉活動、支援活動, reach out:,  差し伸べる)
objectionable, 不快な
prospective, 見込みのある、将来の
purveyor, 販売業者、供給業者
proprietor, オーナー、所有者
plaque, (記念の)盾
proceeds, 収益
quote, 提示価格、引用
recipient, 受賞者、受取人
retreat, 研修旅行、社外会議、退避
reunion, 同窓会、再開
repave, 再舗装する
raffle, 福引, drawing:,  抽選
rigorous, 厳格な
synthetic, 合成の、人工的な
tenure, 在職期間
turnover, 離職率
testimonial, 推薦の声、推薦文
turnout, 来場者数
redeemable, 交換可能な
sturdy, 頑丈な、たくましい
subsequent, その後の、その次の(following)
shortcoming, 欠点
stagnant, (marketなどが)停滞した
stringent, (規制などが)非常に厳しい
subsidiary, 子会社、補助の
susceptible, 影響を受けやすい
solicit donations, 寄付を募る
transparent, 透明の
unwavering, ゆるがぬ、不断の
unanimous, 満場一致の
vigorous, 活気のある、精力的な
ventilation, 風通し、換気, vent:,  通気口)
vicinity, 付近、近辺
vulnerable, 弱い、傷つきやすい
versatile, 多才な
viable, 実行可能な
verify, 認証する、確認する
waive, 放棄する、適用しない
