immense, 膨大な、大きな
count on, 当てにする、頼る
rally, 呼び集める
heave, 持ち上げる
sheer, まったくの、薄い、切り立った
carve, (食卓で)切る
intrigue, 陰謀
contradict, 否定する、反対する、矛盾する
sturdy, たくましい、頑強な
artery, 動脈、幹線, the/a main artery:,  大動脈/主要幹線
handy, 使いやすい、役に立つ
dull, 鈍い(にぶい)
all but, ほとんど
drift, 漂流する、転々とする、流れ
neat, きちんとした、綺麗な
punctual, 時間を守る、几帳面な
subscription, 寄付金, by subscription:,  予約で, subscript:,  下付き文字
clumsy, 下手な
wholesome, 健康によい
plaintiff, 原告、告訴人
defendant, 被告人
optical, 目の、視覚の、光学の
heir, 相続人
finite, 限定されている、有限の(infinite)
perpetual, 永久の、終身の
stale, 古い、つまらない, tale:,  物語、作り話
ambiguous, 多義の、あいまいな
briefing, 簡潔な報告
polish, 磨く
rear [名][動], 後ろ、背後 / 育てる、飼う
velocity, 速度 (vəlάsəṭi)
tremendous, 巨大な、恐るべき
convene, (会議などを)召集する、集まる
eloquence, 雄弁
flaw, 欠点、欠陥
collate, 照合する
transact, 処理する、行う
recklessly, 無謀な、むやみに
sluggish, 動きののろい、低迷している
candid, 率直な
auditorium, 講堂
detour, 回り道
strenuous, 努力を必要とする、熱心な
appraise, 査定する、評価する
attire, 衣装
surcharge, 追加料金
stuffy, 風通しの悪い、(鼻が)詰まった 
utensil, 家庭用品、用具
conspicuous, 目立つ、著名な
obligatory, 義務的な
patio, 中庭
aggravate, 悪化させる
rebate, 払い戻し
durable, 恒久性の、耐久力のある
unanimous, 合意した
unanimously, 満場一致で
insulate, 隔離する、遮断する
mileage, 走行距離
arbitration, 仲裁
deregulation, 自由化
evacuation, 撤退
abrupt, 突然の
favorably, 好意的に
refurbish, 一新する
insulation, 孤立
curtail, 切り詰める
apparel, 衣服、着せる
blueprint, 計画
banquet, 宴会
prominently, 顕著に
lavatory, 便所、洗面所
sensational, 人騒がせな
paycheck, 給料
proficient, 熟練した
allot, 割り当てる
itinerary, 旅程
ailment, 病気
overdue, 期限切れの
debt, 借金
generosity, 寛大さ
attic, 屋根裏
multitude, 大勢、群衆
scrutinize, 精査する
conspicuous, はっきり見える
wholesale, 卸売り
amenity, 心地よさ
endowment, 寄贈、基金
demolish, 取り壊す
beverage, 飲み物
disciplinary, 訓練上の
potent, 強い、効能のある、有力な
discrepancy, 相違
rub, こする
withstand, 抵抗する、我慢する
inclination, 傾向、性向
affluent, 裕福な
vicinity, 付近
hallway, 廊下
provisional, 仮定の
authenticity, 確実性、信頼できること
ward, 病棟、区、選挙区
adjacent, 近隣の
deprivation, 剥奪
cherish, 大事にする
