contingency, 偶発、偶発の出来事
preach, 説教する
resent, 腹を立てる
residue, 残り、残余
resolute, 決心の堅い、断固とした
restive, 反抗的な、落ち着きのない
retail, 小売りする
retention, 保持
reticent, 無口の
retina, 網膜
retort, 言い返す、し返しする
retreat, 旅行、退く、退却
retribution, 天罰
retrospect, 回顧
reverence, 尊敬
reverie, 空想、幻想
revitalize, 生き返らせる
rhyme, 韻・韻を踏む
rid, ～を逃れさせる
riddle, なぞ、不可解なもの
ritual, 儀式、日常繰り返す習慣
rivet, 固める
roam, あてもなく歩く
roar, ほえる、とどろく
rot, 腐る
rouse, 目覚めさせる、を奮起させる
royal, 王の
rubbish, くず
rubble, 破片
rugged, ごつごつした、でこぼこの
run out of, お金を使い果たす
ruse, 計略、策略
rust, さび
rustic, 田舎の、素朴な
ruthless, 無慈悲な、情け容赦のない
sagacious, 賢い
sage, 賢人
salience, 顕現性
salient, 顕著な
saliva, 唾液
salutation, 挨拶
salvation, 救済
sandy bank, 砂の土手
sane, 正気の
satire, 風刺、皮肉
satirize, 皮肉る、風刺する
saturation, 飽和
saw, のこぎり
say to oneself, 独り言を言う
scaffold, 足場
scalpel, 手術用メス
scanty, 乏しい、わずかな
scent, におい、手掛かり
scintillation, ひらめき、きらめき
scornfully, 軽蔑したように
scramble, ごちゃまぜにする
scribble, 殴り書き
scrub, こすって洗う
scrutinize, 精査・吟味・凝視する
scrutiny, 綿密な調査、吟味
scuffling, 格闘
seagull, かもめ
secretariat, 事務局
secretion, 分泌
seduction, 誘惑、そそのかし
see about, について考える
see to it that, ～するように取り計らう/注意する
sensation, 感覚、大評判
sentiment, 感情
serve as, 代用になる
serve to do, するのに役立つ
set eyes on, 見る
set forth, 出かける
sew, 縫う
shabby, みすぼらしい
shed, (涙・血)を流す、(光)を当てる
sheer, まったくの
ship off, 〜を船で送る・国外に追い払う
shipwreck, 難破
shiver, 震える
shore, 岸
shove, (強く)押す
shrewd, 抜け目のない、鋭い
shudder, 震える
shutoff, 仕切り栓
side by side, 並んで
silhouette, シルエット、影	
simmer, 煮え立つ
single out, 選抜する
singularity, 単一、特異性
skeptical, 懐疑的な
skew, 歪める、そらす
slack, たるんだ、不景気な
slam, ばたんと閉める
slant, 傾斜
slaughter, 虐殺する
slaughter, 大量殺人
slumber, 眠って過ごす
sly, ずるがしこい
smack, たたく、風味
smelting, 溶解
smother, 窒息させる、もみ消す
snare, わな、落とし穴
sneer, 冷笑する
snide, 卑劣な
sniffle, 鼻をすする
snobbery, 俗物根性
so far, 今までの所は
so much for, ～の話はおしまい
soak, 浸す、をびしょぬれにする
sob, すすり泣く
sober, 酒に酔っていない
solemn, 厳粛な
solicit, 請い求める
solitary, 孤独な、ただ一つの
solitude, 孤独、人里離れた場所
somewhere, どこかで、ほぼ、およそ
soothe, なだめる、(痛みを)和らげる
sore, 痛い、悲しい、怒っている
sovereign, 君主
sow, (種を)まく
sparkle, 進む、キラキラ光る
spearhead, ～の先頭に立つ
specimen, 見本、標本
specious, もっともらしい
speck, シミ、点
spectator, 観客
speculate, 投機をする、推量する
spine, 脊椎、とげ
spirited, 活気のある
spiritual, 精神的な、霊的な
splendid, 素晴らしい、豪華な
splutter, 興奮してしゃべる
spontaneously, 自発的
spur, 拍車を当てる、を励ます
spurt, スパート、噴出
squabble, 口論する、言い争う
squeak, ちゅうちゅう声
squeaky, キーキーいう
squeeze, 絞る
squirrel, リス
stain, 汚れ
stake, 杭
stale, 新鮮でない、陳腐な
stumble, つまずく、よろよろ歩く
stumble upon, ～を偶然見つける
standby, 緊急時の、予備の
startle, びっくりさせる
stature, 身長
stay around, 周囲にいる
steadily, 堅実に、徐々に
steer, 操縦する
stem, 茎、幹
stem, 由来する
stem from, ～から生ずる
sterile, 子を産まない、不毛の
stern, 厳格な、厳しい
sternly, 厳格に
steward	, 執事、会計係
stick to, 執着する
sticky, 粘着性の・やっかいな
stiff, 堅い、堅苦しい
stiffen, 堅くする
stiffness, 堅いこと・頑固
stilted, 大げさな
sting, 刺す、痛む
stingy, けちな
stir, かき回す、を奮起させる
stoop, かがむ
storehouse, 貯蔵庫
stork, コウノトリ
stout, 頑丈な、太った
strand, 岸、要素
stratum, 層、地層、階層
streak, 筋、しま
strenuous, 精力的な、骨の折れる
stringent, 緊急の、厳格な
strip, から～を剥ぎ取る、を裸にする
stroll, ぶらぶら歩く
stubborn, 頑固な、断固とした
stuffy, 息苦しい
stumble, つまずく
stump, 引きずるように歩く
subconscious, 潜在意識
subdue, 征服する、抑える
sublime, 崇高な
substitute, 代理、代理人
subterranean, 地下の
subtype, 亜型、特殊型
succeed in, 成功する
succeed to, 継承する
successive, 連続的な、継続する
suck, 吸う
sullen, 不機嫌な、陰気な
summarization, 要約、統括
summon, 呼び出す
superficial, 表面の、うわべだけの
superfluous, 余計な、余った
superintendent, 監督、管理者
superstition, 迷信
supplant, ～にとって代わる
surmise	推測する
surmount, 克服する
surpass, にまさる、をしのぐ
surrender oneself to, ～に身を任せる
surrender to, ～に屈する
survey, 見渡す、を測量する
swallow	飲み込む
swarm, 群がる
sway, 揺れる、揺さぶる、を左右する
sweep, 清掃する、一掃する
sweeping, 広範な、決定的な
sweetheart, 恋人
swell, ふくらむ、増大する
swift, 迅速な
syllabus, 要目
synonymous, 同意語の
synthesis, 総合、合成
synthesize, 統合・総合する
tact, 機転、如才なさ
tactless, 機転の利かない
take delight in, ～を楽しむ
take heart, 気を取り直す
take thought, 熟考する
tame, 飼いならされた、従順な
tangential, 接線の、脱線的な
tangle, もつれさせる
tantalize, ～をじらす
tedious, 退屈な、あきあきする
temperament, 気質、体質
temperance, 節制、禁酒
tense, 緊張
tentative, 試験的な
tenure, 在任期間・終身雇用
terrace, 台地、高台
the bulk of, ～の大部分
the spinal cord, 脊髄
thence, そこから、それ故
theological, 神学の
thereafter, その後は
thereby, それによって
thesis, 論文
think out, 考え出す、解決する
thirsty, のどの渇いた、渇望する
thrash about, のたうち回る
thread, 糸、筋道
thrice, 三倍, ※古い言い方
thrifty, 倹約する、つつましい
thrill, をぞくぞくさせる、ぞくぞくする
throb, ずきずき痛む、鼓動する
throng, 群衆
thrust, 突き刺す、を押し分ける
tidy, きちんとした、きれい好きな
timid, 臆病な、内気な
tinkle, チリンチリンと鳴らす
to begin with, まず第一に
to no purpose, 無駄に
to the fore, 前面に
to the letter, 文字通りに
toe, 足の指、つま先
toil, あくせく働く
toil, 骨折り、苦労
tolerable, がまんのできる、かなりよい
topography, 地誌、地形、形態学
torment, 苦しめる
torture, 拷問, ※絶対TOEICに出ないやんけ
totalitarian, 全体主義の
tractable, 扱いやすい、従順な
trait, 特色
traitor, 裏切り者、反逆者
trajectory, 軌跡
tramp, 踏みつける
tranquil, 静かな、穏やかな
transcendental, 先験的
transcript, 複写、写本
transgress, 背く
transient, つかの間の、短期の
transparent, 透明の、分かりやすい
translucent, 半透明の
traverse, 横切る、通過する
treacherous, 裏切りをする、あてにならない
trifle, わずか、少量、ささいな、つまらない
trivial, ささいな、つまらない
tumble, 倒れる、転がる
tumultuous, 騒がしい、乱れた
tunnel vision, 視野の狭さ
turmoil, 混乱、騒動、動揺
tutor, 家庭教師
tutorial, 個別指導の
twilight, 夕暮れ、薄暗がり
twitch, ピクピク動かす
twofold, 二倍の、二重の、二つ折り
tyranny, 圧政
unadventurous, 無事な、安全な
unbridled, 無拘束の
underlying, 基礎的な
undermine, 掘る、浸食する
underneath, 下に、下で
underpin, 補強する
unduly, 永遠の、過度の
unenviable, ねたましくない
unequivocally, 疑う余地なく、明白に
uneven, 平坦でない
unfold, 広げる、展開する
uninterrupted, とぎれのない
unprecedented, 前例のない
unrequited, 報われていない、一方向の
unrivaled, 比類なき
unshakeable, 揺るぎない
unsoundness, 不健全さ
unwittingly, 意識しない、無意識の
up to a point, ある程度
uperfluous, 余分な
uphold, 支持する、を励ます
uproar, 騒ぎ
usher, 先導する
utter, まったくの、発する
utterance, 発言
validation, 確認、確証
vandalism, 破壊
vapor, 蒸気
vascular, 血管の
vehement, 強烈な、激しい
vein, 静脈、気質
venthole, 通気孔
ventilation, 風通し、喚起
verge, 瀬戸際、へり
veridical, 真実・本物の
veritable, 本当の
verse, 韻文
vertical, 垂直な
vex, をいらだたせる、を悩ませる
viability, 生存能力、実行可能性
viable, 実行可能な、生存可能な
vibrant, 振動する
vicious, 不道徳な
victim, 犠牲者、いけにえ
vigor, 活力
vigorous, 精力的な、力強い
vile, 下劣な
vindication, 弁明、証明
virtual, 事実上の
virtuous, 徳の高い
vocation, 職業
vogue, 流行
void, 空虚な
vouch, 請け負う、保証する
vulgar, 下品な、大衆の
wail, 声を上げて泣く
wander, さまよう
warfare, 戦闘、戦争状態
warily, 用心して
wariness, 心配
warn against, ～に用心するよう警告する
watershed, 重要な分岐点
watertight, 防水の・完全な
